,,caso  La Paz,,,,,,,,,,,,,,,,,,,,,,,
,,-15%,,precio de tienda,,precio equipo de ventas,,,,,,,,,,,,,,,,,,,
,,precio distribuidor,precio de fabrica,precio ce venta publico,Precio de venta a instituciones  B2B,Precio de venta personas B2P,,,,,,,,,,,,,,,,,,,
,tab leche 1og,21.25,25,29.5,26.55,29.5,,,,,,,,,,,,,,,,,,,
,,3.75,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.550,2.95,,,,,,,,,,,,,,,,,,,
,Dinero efectivo ,,,29.5,25.00,26.55,,,,,,,,,,,,,,,,,,,
,Margen a precio de distribuidor,,,8.25,3.75,5.3,,,,,,,,,,,,,,,,,,,
,,,,27.97%,14.12%,17.97%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Margen a Precio de Fabrica (tienda),,,4.5,0.00,1.55,,,,,,,,,,,,,,,,,,,
,,,,15.25%,0.00%,5.25%,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Estado de Resultados ,,distribuidor,sucursal ,,,,,,,,,,,,,,,,,,,,
,Ingresos ,,,,,,,,,,,,,,,,,,,,,,,,
,,VEntas por tienda,,29.5,29.5,,,,,,,,,,,,,,,,,,,,
,,VEntas B2B,,26.55,27.78,,,,,,,,,,,,,,,,,,,,
,,Ventas B2P,,29.5,29.5,,,,,,,,,,,,,,,,,,,,
,Total Ingresos ,,,,,,,,,,,,,,,,,,,,,,,,
,,Total ,,85.55,86.78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Egresos ,,,,,,,,,,,,,,,,,,,,,,,,
,,Costo de venta TIENDA,,21.25,25,,,,,,,,,,,,,,,,,,,,
,,Costo de venta B2B,,21.25,25,,,,,,,,,,,,,,,,,,,,
,,Costo de venta B2P,,21.25,25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,total Egresos ,,63.75,75,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Margen Bruto ,,,21.80,11.78,10.02,,,,,,,,,,,,,,,,,,,
,,,,25.48%,13.57%,,,,,,,,,,,,,,,,,,,,
,costos operativos,,,,,,,,,,,,,,,,,,,,,,,,
,,costos de comercializacio,,,,,,,,,,,,,,,,,,,,,,,
,,catalogos,,,,,,,,,,,,,,,,,,,,,,,
,,cbanners,,,,,,,,,,,,,,,,,,,,,,,
,,campaña de contratacion,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Costos administrativos ,,,,,,,,,,,,,,,,,,,,,,,
,,Gerente la paz,,,,,,,,,,,,,,,,,,,,,,,
,,vende1,,,,,,,,,,,,,,,,,,,,,,,
,,vende2,,,,,,,,,,,,,,,,,,,,,,,
,,vende3,,,,,,,,,,,,,,,,,,,,,,,
,,vende4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Utilidad Neta,,,,,,,,,,,,,,,,,,,,,,,,
