[2026-06-03 11:19:21.508906] API CALL -> sucursal_id: None, tenant: None, time_range: 30days
[2026-06-03 11:22:05.731185] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 11:22:15.334108] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 11:27:40.327102] API CALL -> sucursal_id: Suc. Heroinas, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 11:28:02.773240] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 11:32:00.267535] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 7days
[2026-06-03 11:37:17.194614] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:03:17.208379] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:03:25.199556] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:36:56.597986] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:38:54.467435] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:39:14.398834] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:46:33.910797] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:46:54.003997] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:46:54.053150] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:49:45.399520] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:50:06.223893] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 12:55:16.665244] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 12:55:36.477422] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:03:03.289032] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:03:22.896580] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:03:23.285844] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:10:22.186793] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:10:42.173601] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:10:42.571040] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:12:49.751046] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 13:16:50.767023] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: historico
[2026-06-03 13:19:12.830491] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 7days
[2026-06-03 13:19:21.739441] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:25:49.040261] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:26:08.181051] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:26:15.135897] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:38:50.043976] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:38:56.511353] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:44:48.332202] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:50:36.044175] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:50:52.951997] API CALL -> sucursal_id: Heroinas, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:50:57.485597] API CALL -> sucursal_id: Recoleta, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:51:00.285104] API CALL -> sucursal_id: Calacoto, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:52:41.329881] API CALL -> sucursal_id: None, tenant: *, time_range: today
[2026-06-03 13:57:52.918348] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:58:13.213118] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:58:13.222068] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 13:58:13.828369] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:07:42.683841] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:08:01.109410] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:08:03.878017] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:08:31.865658] API CALL -> sucursal_id: Recoleta, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:08:44.131361] API CALL -> sucursal_id: Heroinas, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: 30days
[2026-06-03 14:10:56.200900] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
[2026-06-03 14:11:12.354386] API CALL -> sucursal_id: None, tenant: 69cd7f0a8f3f6866d4cfbb62, time_range: today
